key,role,champion_id,in_lane,in_lane_text,win_rate
JungleRammus,Jungle,Rammus,28.34666667,Danger Early Game,53.69333333
JungleIvern,Jungle,Ivern,31.875,Danger Early Game,54.4625
JungleGragas,Jungle,Gragas,32.34,Danger Early Game,49.31
TopShen,Top,Shen,33.88181818,Danger Early Game,50.93333333
TopKayle,Top,Kayle,36.49166667,Danger Early Game,50.3875
JungleZac,Jungle,Zac,36.81153846,Danger Early Game,53.22307692
JungleElise,Jungle,Elise,36.86470588,Danger Early Game,48.15294118
SupportAlistar,Support,Alistar,37.4,Danger Early Game,48.92857143
TopYone,Top,Yone,37.84666667,Danger Early Game,50.55333333
SupportTaric,Support,Taric,38.2875,Danger Early Game,48.4375
JungleNunu,Jungle,Nunu,38.83333333,Danger Early Game,51.68333333
MiddleGalio,Middle,Galio,39.24,Danger Early Game,48.09
JungleSejuani,Jungle,Sejuani,39.32142857,Danger Early Game,45.42142857
TopMalphite,Top,Malphite,39.68888889,Danger Early Game,50.77037037
JunglePoppy,Jungle,Poppy,39.81666667,Danger Early Game,48.76666667
MiddleAnnie,Middle,Annie,40.20769231,Bad Early Game,53.38461538
JungleVolibear,Jungle,Volibear,41.29,Bad Early Game,50.36
SupportSoraka,Support,Soraka,41.78461538,Bad Early Game,49.62692308
JungleVi,Jungle,Vi,41.915,Bad Early Game,52.185
JungleAmumu,Jungle,Amumu,42.38333333,Bad Early Game,52.59666667
SupportRakan,Support,Rakan,42.41785714,Bad Early Game,49.33928571
TopJayce,Top,Jayce,43.172,Bad Early Game,48.528
SupportBraum,Support,Braum,43.24074074,Bad Early Game,51.58518519
TopTrundle,Top,Trundle,43.31176471,Bad Early Game,51.81764706
JungleSkarner,Jungle,Skarner,43.4,Bad Early Game,44.53333333
SupportMaokai,Support,Maokai,43.46470588,Bad Early Game,51.01176471
MiddleKatarina,Middle,Katarina,43.88285714,Bad Early Game,50.28285714
SupportRell,Support,Rell,43.93333333,Bad Early Game,52.45555556
SupportLeona,Support,Leona,43.95862069,Bad Early Game,48.68275862
TopNasus,Top,Nasus,44.00909091,Bad Early Game,48.08484848
JungleTrundle,Jungle,Trundle,44.22903226,Bad Early Game,49.81935484
SupportJanna,Support,Janna,44.372,Bad Early Game,51.112
ADCJinx,ADC,Jinx,44.57894737,Bad Early Game,49.58947368
ADCVayne,ADC,Vayne,44.62,Bad Early Game,51.7
MiddleLux,Middle,Lux,45.13030303,Bad Early Game,50.64848485
SupportThresh,Support,Thresh,45.16666667,Bad Early Game,49.08148148
TopOrnn,Top,Ornn,45.38148148,Bad Early Game,52.79259259
TopKennen,Top,Kennen,45.46315789,Bad Early Game,49.17894737
MiddleTwisted_Fate,Middle,Twisted Fate,45.6375,Bad Early Game,49.95
MiddleAkali,Middle,Akali,45.73333333,Bad Early Game,46.98333333
SupportSona,Support,Sona,45.8,Bad Early Game,55.52692308
ADCSenna,ADC,Senna,46.00555556,Bad Early Game,52.48888889
TopSion,Top,Sion,46.04090909,Bad Early Game,49.69090909
TopGangplank,Top,Gangplank,46.07428571,Bad Early Game,42.76857143
ADCKai'Sa,ADC,Kai'Sa,46.10555556,Bad Early Game,49.02777778
MiddleLissandra,Middle,Lissandra,46.14814815,Bad Early Game,50.15555556
JungleWarwick,Jungle,Warwick,46.16190476,Bad Early Game,50.62380952
SupportNami,Support,Nami,46.16923077,Bad Early Game,51.25384615
SupportGalio,Support,Galio,46.38888889,Bad Early Game,51.81111111
SupportNautilus,Support,Nautilus,46.40740741,Bad Early Game,49.84444444
SupportLulu,Support,Lulu,46.42592593,Bad Early Game,49.8
MiddleMalzahar,Middle,Malzahar,46.78965517,Bad Early Game,51.79655172
JungleTaliyah,Jungle,Taliyah,46.8,Bad Early Game,36.95
TopGwen,Top,Gwen,46.884,Bad Early Game,44.968
SupportBlitzcrank,Support,Blitzcrank,46.91034483,Bad Early Game,49.84137931
ADCAshe,ADC,Ashe,46.91052632,Bad Early Game,52.85789474
ADCEzreal,ADC,Ezreal,47.05238095,Bad Early Game,49.25238095
MiddleOrianna,Middle,Orianna,47.05714286,Bad Early Game,48.69642857
ADCTwitch,ADC,Twitch,47.07368421,Bad Early Game,48.28947368
TopCamille,Top,Camille,47.62941176,Bad Early Game,51.97941176
ADCAphelios,ADC,Aphelios,47.805,Bad Early Game,48.51
JungleGwen,Jungle,Gwen,47.83333333,Bad Early Game,51
MiddleQiyana,Middle,Qiyana,47.89090909,Bad Early Game,48.12424242
MiddleFizz,Middle,Fizz,48.21538462,Bad Early Game,48.25384615
JungleJarvan_IV,Jungle,Jarvan IV,48.30344828,Bad Early Game,51.77931034
TopUrgot,Top,Urgot,48.35,Bad Early Game,50.45
MiddleKassadin,Middle,Kassadin,48.365625,Bad Early Game,49.8
MiddleSylas,Middle,Sylas,48.37941176,Bad Early Game,49.18529412
JungleJax,Jungle,Jax,48.4,Bad Early Game,50
JungleLee_Sin,Jungle,Lee Sin,48.403125,Bad Early Game,48.39375
SupportSeraphine,Support,Seraphine,48.43913043,Bad Early Game,50.1826087
JungleXin_Zhao,Jungle,Xin Zhao,48.74642857,Bad Early Game,52.84285714
